key;de;en;ar
TCBQ_0028_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0028_PROMPT;Mein Kind mag sehr gerne Tobespiele. ;My child likes rough and rowdy games.;لا يحب الألعاب الفظة والصاخبة.
TCBQ_0029_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0029_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0029_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0029_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0029_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0029_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0029_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0029_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0029_PROMPT;Über kleinere Verletzungen regt mein Kind sich nicht sehr auf. ;My child is not very upset at minor cuts or bruises. ;لا ينزعج جدا من الجروح أو الكدمات الصغيرة. 
TCBQ_0030_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0030_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0030_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0030_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0030_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0030_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0030_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0030_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0030_PROMPT;Nachdem man ihm erklärt hat, dass ein Ort gefährlich ist, nähert mein Kind sich langsam und vorsichtig an.;My child approaches places s/he has been told are dangerous slowly and cautiously.;يقترب ببطء وبحذر من الأماكن التي قيل له أنها خطيرة
TCBQ_0031_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0031_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0031_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0031_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0031_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0031_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0031_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0031_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0031_PROMPT;Mein Kind entscheidet langsam und ohne Eile, was es als nächstes tut. ;My child is slow and unhurried in deciding what to do next. ;بطيء ورزين في تحديد خطواته القادمة. 
TCBQ_0032_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0032_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0032_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0032_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0032_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0032_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0032_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0032_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0032_PROMPT;Mein Kind wird wütend, wenn es etwas nicht finden kann, womit es spielen möchte. ;My child gets angry when s/he can't find something s/he wants to play with.;يغضب عندما لا يمكنه العثور على شيء يريد اللعب به. 
TCBQ_0033_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0033_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0033_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0033_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0033_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0033_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0033_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0033_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0033_PROMPT;Mein Kind mag gerne beruhigende rhythmische Aktivitäten wie Schaukeln oder Schwingen. ;My child enjoys gentle rhythmic activities such as rocking or swaying. ;يستمتع بالأنشطة ذات الحركة اللطيفه مثل الهز أو التمايل. 
TCBQ_0034_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0034_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0034_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0034_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0034_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0034_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0034_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0034_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0034_PROMPT;Mein Kind wendet sich manchmal schüchtern von neuen Bekannten ab. ;My child sometimes turns away shyly from new aquaintances. ;يبتعد ًانايحأ بخجل من المعارف الجدد.
TCBQ_0035_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0035_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0035_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0035_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0035_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0035_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0035_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0035_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0035_PROMPT;Mein Kind regt sich auf, wenn geliebte Verwandte oder Feunde nach dem Besuch aufbrechen.;My child becomes upset when loved relatives or friends are getting ready to leave following a visit. ;يصبح منزعجا عندما يستعد أقارب أو أصدقاء محبوبين للمغادرة بعد زيارة.
TCBQ_0036_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0036_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0036_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0036_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0036_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0036_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0036_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0036_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0036_PROMPT;Mein Kind sagt etwas, wenn die Eltern ihr Äußeres verändert haben (z.B. neue Frisur). ;My child comments when a parent has changed his/her appearance. ;يعلق عندما يغير أحد الوالدين مظهره الخارجي.
